principal_component_1,principal_component_2,cluster
-0.41987685925654505,1.5330557073220623,0
2.099460284992191,1.576153602633038,2
-1.37761713055315,2.83669073540099,0
-1.8611760982676049,-0.05486604834757524,1
-0.8368948609122697,1.0851981680509333,0
-0.9700297313271303,1.5365087655744554,0
-0.750105159792413,-0.8920654549023109,1
0.22648618177324842,2.5653473855359286,0
0.8368332055209954,-0.7567791625301624,2
0.820474728254587,1.7637712779759307,0
0.6456046368226285,1.0212952077253885,0
0.17002818087569707,-1.4711572825601067,1
1.0614397685118313,2.1753251491666017,0
-1.2226017772493298,-0.7876849664045582,1
-1.0836113265450216,2.113928055250219,0
-1.40759857774539,2.352138893079654,0
0.18035283144376435,-1.2255560596665231,1
-1.6517702136502528,-0.7146917825011905,1
2.4993252010489124,-0.11876444671862746,2
2.126671103505576,-0.1591454655462138,2
1.4345976833777112,0.006117012679112855,2
1.9427547739387803,-0.2503358224181927,2
-1.2740998146204132,-0.687732473125692,1
-1.9134993329930974,-0.028748578758932934,1
-1.6728038795614097,-0.5060771041377482,1
-0.7079066949028948,2.7055354486968377,0
-0.1351233827712671,0.8062334979037699,1
-0.6846030481239607,-1.0044527231477833,1
2.1824020989044843,-0.03385481826494366,2
-0.13030880196620304,-1.3534590379429505,1
0.6482911390605585,1.3945552190351895,0
0.0004411513286363305,0.5665786797840417,1
-0.4730434125286931,-1.1148639417539026,1
0.19427726832674885,-0.1502803373441719,1
0.21703753814881924,0.8338602277214902,0
0.7648439954591406,-0.9290680334014554,2
-1.7109856682079692,-0.5612449625602496,1
-0.640143842752043,-0.7647719428505806,1
-0.16684817525511536,-0.8692513944484083,1
-0.8422664234436468,-0.8064606216743051,1
1.9463852854985992,-0.2557473997127813,2
-0.0686089710488241,2.7851347356064062,0
-2.7704430865463396,-0.5905597654476055,1
-0.4716019914099946,3.680467226219997,0
-0.22408914944753697,-1.331361897384737,1
-0.48596327180828675,-1.2641800301655661,1
2.1964593276409667,0.18840971579392507,2
1.7225123847621735,-0.19293839162913434,2
-0.4977446264679036,1.778768737749103,0
-1.1332478243908133,-0.41493961991129463,1
2.891195745468471,-0.2778545327509898,2
1.538177345333931,-0.20100968573827854,2
1.9904249245815673,0.20022591654972852,2
-1.417588029920063,3.575697365743198,0
-0.4251479509226225,-0.3299356398382808,1
0.32459480837140203,-0.6188151943745155,1
-1.619034463921887,0.03642397984657876,1
1.5577337293848192,0.13228354201720058,2
0.0899762976074896,-0.9514893378100179,1
0.11907671416121882,1.4974113261536615,0
-0.5778511480481301,1.5152897930720748,0
-0.5383460639573009,-0.7386094279899894,1
-0.1703454009231315,-0.28837585551378125,1
-2.043745369130959,-0.35694882600957223,1
-1.0655120672201939,1.0613644028597378,0
1.0420121086735696,-0.6568093033217872,2
2.9412250776460116,-0.2196387500912574,2
-1.7686310481916265,-0.20358884163758803,1
-1.6574737053017095,-0.3267494989397167,1
0.5322614081930674,-0.250655806222206,1
-0.4534126606753885,1.0378501610230828,0
0.21372365693702142,0.5192529652920856,1
-0.8050613491099139,-0.49385662716390555,1
-0.25598367828944363,-1.0045912228904297,1
0.9635042433885731,-1.1033943713150876,2
-1.0174451570145069,-0.2469313984057738,1
3.0438217615648866,0.7880481856614003,2
-0.468921742618249,-0.6089341453005342,1
-0.11557520896976164,-1.4981782715178273,1
0.5373721470151868,-0.8381583040062801,2
1.3225241938616852,0.09605896694713907,2
1.9837918355465152,-0.06504940898411957,2
-1.867927360110335,-0.19042329722670978,1
-0.502930479993666,1.9360370307532142,0
1.0365208810570352,0.13016062609412346,2
0.12087967625040934,-0.1477078629365068,1
1.48111973271985,-1.4488715510921815,2
2.4322499809103104,-0.5541316077175761,2
2.71156575428233,-0.6081460996147207,2
-0.14831764107040812,-1.1798459783729542,1
-0.04828007675561394,-1.2650778515688155,1
-2.121856323152434,-0.1704373135416711,1
-1.7769512855791598,0.5151444629188585,1
1.6314380560917427,0.05144176173925883,2
-0.4587129360679812,-0.9698254957714091,1
-0.790239977291895,0.06485419601748592,1
2.4674735338199514,-0.3108215729247074,2
-0.1084772975658415,3.175334578732785,0
-0.7060288817209546,-1.0179080261324507,1
1.7052220800241442,0.06108544515364796,2
0.9415282962443688,-1.476209564387565,2
-1.937825158267136,-0.48667649833720644,1
-1.080146255703099,1.4353969725765614,0
1.7114543026930888,-0.2801952224414778,2
-0.017419059342747005,1.9999982185307372,0
-0.10957446252822392,-1.17343158036443,1
-1.4454311920792162,-0.6028423532194177,1
2.2711589704990014,-0.16061708880562345,2
-0.7041785292052208,-0.5506285138516389,1
2.001853568942784,-0.0414449019468122,2
-0.10484716663572222,-0.6053645754899106,1
-0.3372723006626955,-0.8151385658801202,1
-0.5014573821406773,1.6119594117030174,0
-0.6108179318923912,-0.6770909789586578,1
-0.23220789690040025,1.9605661384965927,0
-0.7509532779388424,-0.4308086903536031,1
-0.7295966704179896,-1.2576777909348984,1
-0.8410714713276437,-0.7827908812335744,1
0.49122821442103637,3.1453845411228514,0
2.5963105966716147,-0.4033873082993403,2
-1.7323986362317507,0.12271948225217971,1
-0.808651821193839,-1.066094386007336,1
-1.2059475549940002,-0.4082558880696137,1
-1.4469532662393851,-0.35387787972694545,1
2.9262060318737464,-0.5986909877422065,2
2.999488494249589,-0.46885223835192347,2
0.688137611413012,-1.3037400437640134,2
-0.1702312680640399,-0.8812132764849236,1
-1.2172196051329816,-0.5228301655422353,1
-0.3775680212414968,-1.3460068898573794,1
-1.1346490670685485,3.5040995031477387,0
-0.7292417663362849,1.7977206672094914,0
2.5036718974665844,-0.19466134333558358,2
-0.9318635390349109,-1.1051616422778787,1
-1.460505336972261,-0.5960656223284189,1
-0.7582164747283401,-0.6920325582347309,1
2.59057159024844,-0.6143123533472313,2
-0.587532075843568,2.2877071386924515,0
-0.06091406451671926,-1.3693745828705175,1
-1.0187712526730741,-0.7034005519471352,1
-1.0291955495915361,1.9449768488777686,0
-0.8832468171214841,2.379524696532345,0
1.7259733707385412,-0.20775046662569072,2
1.744833333461757,0.082210051069181,2
-1.475424944261336,-0.3395153714122158,1
3.0598595632328442,-0.15928427025544423,2
1.902797038946672,-0.2804439955850677,2
-0.8482784269891889,-0.004841188435472018,1
-0.5922379474288066,-0.9863413504154299,1
0.05635861046038121,1.191964220982782,0
3.336062028847274,-0.5372155165836066,2
-0.4424386800486118,2.350463338980617,0
-0.6116277073082916,2.4044493417506643,0
-0.4428190409565933,1.285035383690629,0
1.135959981901303,-1.4446543477653215,2
0.251056314049905,1.6036380061146542,0
0.7522768441552733,-1.0083289703627858,1
-0.11758599530436419,-0.9961646440668549,1
1.958760429897203,0.06523745550749911,2
0.22329785034230965,1.941587474643894,0
-0.3264874443440774,1.9835091183508977,0
-2.137910096437553,-0.05318208122034933,1
0.30182986530691336,2.3143622099587673,0
2.8420436155597653,-0.3724712462883252,2
0.1247527488036152,-0.9141678327452362,1
0.1554911836583816,1.4192836412945706,0
0.30122153717980366,-1.1608774882312836,1
-0.9096325825327811,-0.68397201319005,1
-0.3968696057971787,-1.1104106922594188,1
-1.4182583577807983,-0.3734127143333365,1
